,0,1,2,3,4,5,6,status,Run,n_Mechanics,n_Vans,Response,Replace
0,2019-11-29 01:22:00.000000,2019-11-29 00:00:35.000000,2019-11-29 00:14:54.292995,2019-11-29 00:15:29.292995,2019-11-29 00:47:56.083414,2019-11-29 00:48:31.083414,2019-11-29 01:02:50.066593,Replace,3,40,40,-1 days +22:38:35.000000000,894292995000
1,2019-11-29 01:22:00.000000,2019-11-29 01:22:25.000000,2019-11-29 01:39:38.252386,2019-11-29 01:40:03.252386,2019-11-29 02:32:47.388279,2019-11-29 02:33:12.388279,2019-11-29 02:47:30.168283,Replace,3,40,40,0 days 00:00:25.000000000,1058252386000
2,2019-11-29 02:27:00.000000,2019-11-29 02:27:45.000000,2019-11-29 02:39:19.588288,2019-11-29 02:39:49.672320,,,,Onsite,3,40,40,0 days 00:00:45.000000000,
3,2019-11-29 04:58:00.000000,2019-11-29 04:58:35.000000,2019-11-29 05:13:35.206738,2019-11-29 05:14:10.206738,2019-11-29 05:42:53.568618,2019-11-29 05:43:28.568618,2019-11-29 05:54:49.376062,Replace,3,40,40,0 days 00:00:35.000000000,935206738000
4,2019-11-29 03:54:00.000000,2019-11-29 03:54:30.000000,2019-11-29 04:14:31.267644,2019-11-29 04:15:01.267644,2019-11-29 04:58:13.082249,2019-11-29 04:58:43.082249,2019-11-29 05:14:41.161935,Replace,3,40,40,0 days 00:00:30.000000000,1231267644000
5,2019-11-29 06:06:00.000000,2019-11-29 06:06:55.000000,2019-11-29 06:30:34.065345,2019-11-29 06:31:29.065345,2019-11-29 07:06:44.990518,2019-11-29 07:07:39.990518,2019-11-29 07:27:59.903877,Replace,3,40,40,0 days 00:00:55.000000000,1474065345000
6,2019-11-29 07:19:00.000000,2019-11-29 07:19:30.000000,2019-11-29 07:38:59.289358,2019-11-29 07:39:29.289358,2019-11-29 08:03:15.260648,2019-11-29 08:03:45.260648,2019-11-29 08:21:46.796394,Replace,3,40,40,0 days 00:00:30.000000000,1199289358000
7,2019-11-29 08:36:00.000000,2019-11-29 08:36:25.000000,2019-11-29 08:47:29.124900,2019-11-29 08:47:54.124900,2019-11-29 09:34:46.574822,2019-11-29 09:35:11.574822,2019-11-29 09:48:33.308996,Replace,3,40,40,0 days 00:00:25.000000000,689124900000
8,2019-11-29 09:50:00.000000,2019-11-29 09:50:45.000000,2019-11-29 10:04:01.336584,2019-11-29 10:04:46.336584,2019-11-29 10:44:04.796605,2019-11-29 10:44:49.796605,2019-11-29 11:00:05.066648,Replace,3,40,40,0 days 00:00:45.000000000,841336584000
9,2019-11-29 11:05:00.000000,2019-11-29 11:05:25.000000,2019-11-29 11:17:43.359341,2019-11-29 11:18:08.359341,2019-11-29 11:42:46.755269,2019-11-29 11:43:11.755269,2019-11-29 11:56:32.631062,Replace,3,40,40,0 days 00:00:25.000000000,763359341000
10,2019-11-29 12:17:00.000000,2019-11-29 12:17:30.000000,2019-11-29 12:33:41.171784,2019-11-29 12:34:11.171784,2019-11-29 13:26:29.221491,2019-11-29 13:26:59.221491,2019-11-29 13:41:18.006931,Replace,3,40,40,0 days 00:00:30.000000000,1001171784000
11,2019-11-29 13:22:00.000000,2019-11-29 13:22:35.000000,2019-11-29 13:44:35.207832,2019-11-29 13:44:49.312598,,,,Onsite,3,40,40,0 days 00:00:35.000000000,
12,2019-11-29 14:37:00.000000,2019-11-29 14:37:30.000000,2019-11-29 14:53:39.049048,2019-11-29 14:54:09.049048,2019-11-29 15:25:53.360863,2019-11-29 15:26:23.360863,2019-11-29 15:45:50.081654,Replace,3,40,40,0 days 00:00:30.000000000,999049048000
13,2019-11-29 15:58:00.000000,2019-11-29 15:58:50.000000,2019-11-29 16:14:11.686537,2019-11-29 16:14:25.107769,,,,Onsite,3,40,40,0 days 00:00:50.000000000,
14,2019-11-29 17:23:00.000000,2019-11-29 17:23:45.000000,2019-11-29 17:39:56.880114,2019-11-29 17:40:41.880114,2019-11-29 18:11:23.138250,2019-11-29 18:12:08.138250,2019-11-29 18:27:12.833193,Replace,3,40,40,0 days 00:00:45.000000000,1016880114000
15,2019-11-29 18:42:00.000000,2019-11-29 18:42:35.000000,2019-11-29 18:58:48.688836,2019-11-29 18:58:57.395166,,,,Onsite,3,40,40,0 days 00:00:35.000000000,
16,2019-11-29 19:50:00.000000,2019-11-29 19:50:30.000000,2019-11-29 20:06:54.761745,2019-11-29 20:07:24.761745,2019-11-29 21:00:46.686688,2019-11-29 21:01:16.686688,2019-11-29 21:16:02.706888,Replace,3,40,40,0 days 00:00:30.000000000,1014761745000
17,2019-11-29 21:22:00.000000,2019-11-29 21:22:25.000000,2019-11-29 21:39:05.172007,2019-11-29 21:39:30.172007,2019-11-29 22:22:47.012244,2019-11-29 22:23:12.012244,2019-11-29 22:37:31.290969,Replace,3,40,40,0 days 00:00:25.000000000,1025172007000
0,2019-11-29 01:10:00.000000,2019-11-29 00:00:35.000000,2019-11-29 00:19:43.489920,2019-11-29 00:20:18.489920,2019-11-29 00:51:54.337258,2019-11-29 00:52:29.337258,2019-11-29 01:07:52.674240,Replace,4,40,40,-1 days +22:50:35.000000000,1183489920000
1,2019-11-29 01:18:00.000000,2019-11-29 01:18:50.000000,2019-11-29 01:35:54.132130,2019-11-29 01:36:44.132130,2019-11-29 02:07:35.114419,2019-11-29 02:08:25.114419,2019-11-29 02:23:00.319172,Replace,4,40,40,0 days 00:00:50.000000000,1074132130000
2,2019-11-29 02:46:00.000000,2019-11-29 02:46:50.000000,2019-11-29 03:02:46.672131,2019-11-29 03:03:13.664547,,,,Onsite,4,40,40,0 days 00:00:50.000000000,
3,2019-11-29 03:53:00.000000,2019-11-29 03:53:25.000000,2019-11-29 04:07:47.516387,2019-11-29 04:08:12.516387,2019-11-29 04:45:20.962879,2019-11-29 04:45:45.962879,2019-11-29 05:00:30.271989,Replace,4,40,40,0 days 00:00:25.000000000,887516387000
4,2019-11-29 04:56:00.000000,2019-11-29 04:56:30.000000,2019-11-29 05:14:54.141251,2019-11-29 05:15:18.546930,,,,Onsite,4,40,40,0 days 00:00:30.000000000,
5,2019-11-29 05:59:00.000000,2019-11-29 05:59:50.000000,2019-11-29 06:12:53.247195,2019-11-29 06:13:43.247195,2019-11-29 06:57:53.902735,2019-11-29 06:58:43.902735,2019-11-29 07:09:22.019688,Replace,4,40,40,0 days 00:00:50.000000000,833247195000
6,2019-11-29 07:33:00.000000,2019-11-29 07:33:50.000000,2019-11-29 07:45:39.218527,2019-11-29 07:46:29.218527,2019-11-29 08:43:31.533174,2019-11-29 08:44:21.533174,2019-11-29 09:01:07.410267,Replace,4,40,40,0 days 00:00:50.000000000,759218527000
7,2019-11-29 08:50:00.000000,2019-11-29 08:50:35.000000,2019-11-29 09:03:33.018860,2019-11-29 09:04:08.018860,2019-11-29 09:49:36.871976,2019-11-29 09:50:11.871976,2019-11-29 10:11:54.656334,Replace,4,40,40,0 days 00:00:35.000000000,813018860000
8,2019-11-29 09:40:00.000000,2019-11-29 09:40:45.000000,2019-11-29 09:57:16.349071,2019-11-29 09:58:01.349071,2019-11-29 10:39:13.718789,2019-11-29 10:39:58.718789,2019-11-29 10:54:12.614202,Replace,4,40,40,0 days 00:00:45.000000000,1036349071000
9,2019-11-29 10:50:00.000000,2019-11-29 10:50:35.000000,2019-11-29 11:01:26.906116,2019-11-29 11:01:33.685095,,,,Onsite,4,40,40,0 days 00:00:35.000000000,
10,2019-11-29 12:04:00.000000,2019-11-29 12:04:35.000000,2019-11-29 12:20:31.102680,2019-11-29 12:21:06.102680,2019-11-29 13:08:48.100671,2019-11-29 13:09:23.100671,2019-11-29 13:25:04.338308,Replace,4,40,40,0 days 00:00:35.000000000,991102680000
11,2019-11-29 13:23:00.000000,2019-11-29 13:23:45.000000,2019-11-29 13:40:08.595261,2019-11-29 13:40:53.595261,2019-11-29 14:10:01.728211,2019-11-29 14:10:46.728211,2019-11-29 14:29:38.302796,Replace,4,40,40,0 days 00:00:45.000000000,1028595261000
12,2019-11-29 14:38:00.000000,2019-11-29 14:38:30.000000,2019-11-29 14:54:19.264861,2019-11-29 14:54:49.264861,2019-11-29 15:24:12.580955,2019-11-29 15:24:42.580955,2019-11-29 15:44:46.512418,Replace,4,40,40,0 days 00:00:30.000000000,979264861000
13,2019-11-29 15:57:00.000000,2019-11-29 15:57:45.000000,2019-11-29 16:17:36.571189,2019-11-29 16:17:52.043997,,,,Onsite,4,40,40,0 days 00:00:45.000000000,
14,2019-11-29 17:01:00.000000,2019-11-29 17:01:45.000000,2019-11-29 17:15:51.251043,2019-11-29 17:16:36.251043,2019-11-29 17:52:55.043375,2019-11-29 17:53:40.043375,2019-11-29 18:14:20.817026,Replace,4,40,40,0 days 00:00:45.000000000,891251043000
15,2019-11-29 17:58:00.000000,2019-11-29 17:58:35.000000,2019-11-29 18:14:16.991921,2019-11-29 18:14:51.991921,2019-11-29 18:39:57.506412,2019-11-29 18:40:32.506412,2019-11-29 18:57:14.746681,Replace,4,40,40,0 days 00:00:35.000000000,976991921000
16,2019-11-29 19:06:00.000000,2019-11-29 19:06:50.000000,2019-11-29 19:23:40.555481,2019-11-29 19:24:30.555481,2019-11-29 20:06:57.426361,2019-11-29 20:07:47.426361,2019-11-29 20:26:51.956758,Replace,4,40,40,0 days 00:00:50.000000000,1060555481000
17,2019-11-29 20:16:00.000000,2019-11-29 20:16:25.000000,2019-11-29 20:31:31.570344,2019-11-29 20:31:51.108542,,,,Onsite,4,40,40,0 days 00:00:25.000000000,
18,2019-11-29 21:28:00.000000,2019-11-29 21:28:45.000000,2019-11-29 21:45:44.156081,2019-11-29 21:46:29.156081,2019-11-29 22:16:04.048082,2019-11-29 22:16:49.048082,2019-11-29 22:34:53.363571,Replace,4,40,40,0 days 00:00:45.000000000,1064156081000
0,2019-11-29 00:52:00.000000,2019-11-29 00:00:30.000000,2019-11-29 00:16:37.884277,2019-11-29 00:17:07.884277,2019-11-29 00:42:32.081643,2019-11-29 00:43:02.081643,2019-11-29 00:57:25.062509,Replace,5,40,40,-1 days +23:08:30.000000000,997884277000
1,2019-11-29 01:10:00.000000,2019-11-29 01:10:55.000000,2019-11-29 01:28:13.100446,2019-11-29 01:29:08.100446,2019-11-29 01:59:19.537268,2019-11-29 02:00:14.537268,2019-11-29 02:13:48.020509,Replace,5,40,40,0 days 00:00:55.000000000,1093100446000
2,2019-11-29 02:21:00.000000,2019-11-29 02:21:55.000000,2019-11-29 02:40:00.168209,2019-11-29 02:40:33.416266,,,,Onsite,5,40,40,0 days 00:00:55.000000000,
